food_id,food_name,brand,categories,countries,collection_location,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,salt_g,nutriscore,nova_group,serving_size,quantity,source,region,diet_type
IND_FOOD_1,Hot tea (Garam Chai),,Indian Food,India,India,16.14,0.39,2.58,0.53,0.0,2.58,3.12,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_2,Instant coffee,,Indian Food,India,India,23.16,0.64,3.65,0.75,0.0,3.62,4.92,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_3,Espreso coffee,,Indian Food,India,India,51.54,1.75,6.62,2.14,0.0,6.53,13.98,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_4,Iced tea,,Indian Food,India,India,10.34,0.03,2.7,0.01,0.0,2.7,0.23,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_5,Raw mango drink (Aam panna),,Indian Food,India,India,35.92,0.16,9.05,0.03,0.61,7.49,79.82,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_6,Fruit Punch (with fresh juices),,Indian Food,India,India,36.12,0.14,9.38,0.03,0.06,9.25,2.63,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_7,Fruit Punch (with squashes),,Indian Food,India,India,23.13,0.07,5.99,0.02,0.17,5.88,2.26,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_8,Lemonade,,Indian Food,India,India,20.8,0.03,5.48,0.01,0.02,5.47,28.52,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_9,Lem-o-gin,,Indian Food,India,India,21.52,0.08,5.55,0.03,0.13,5.38,28.13,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_10,Cumin infused water (Jeere/Zeere ka pani),,Indian Food,India,India,9.09,0.17,1.86,0.11,0.46,1.46,189.6,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_11,Coco pine cooler,,Indian Food,India,India,32.75,0.56,5.72,1.0,0.26,5.52,23.2,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_12,Summer cooler,,Indian Food,India,India,22.43,0.37,5.43,0.04,0.2,5.21,1.57,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_13,Hot cocoa,,Indian Food,India,India,90.1,3.36,9.23,4.56,0.0,9.01,24.2,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_14,Cold coffee with ice cream,,Indian Food,India,India,67.85,1.57,11.24,2.11,0.01,11.18,13.84,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_15,Banana milkshake (Kele milkshake),,Indian Food,India,India,65.31,1.84,9.15,2.37,0.26,7.96,13.61,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_16,Mango milkshake (Aam milkshake),,Indian Food,India,India,56.9,1.73,7.23,2.35,0.26,7.15,13.27,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_17,Pineapple milkshake (Ananas milkshake),,Indian Food,India,India,55.72,1.66,7.62,2.23,0.0,7.6,14.05,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_18,Orange milkshake (Narangi milkshake),,Indian Food,India,India,57.42,1.86,7.11,2.52,0.0,7.08,14.63,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_19,Egg nog,,Indian Food,India,India,97.14,4.78,8.15,5.11,0.02,8.06,40.65,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_20,Sweet Lassi (Meethi lassi),,Indian Food,India,India,35.66,1.29,6.51,0.68,0.0,6.51,18.31,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_21,Lassi (salted),,Indian Food,India,India,18.84,1.35,1.86,0.72,0.02,1.84,65.4,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_22,Cheese and chilli sandwich,,Indian Food,India,India,218.11,6.8,27.4,9.78,2.08,2.38,437.5,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_23,Egg sandwich (Ande ka sandwich),,Indian Food,India,India,285.96,8.69,29.16,15.8,1.88,1.86,461.67,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_24,Cucumber sandwich (Kheere ka sandwich),,Indian Food,India,India,188.6,4.8,25.77,8.0,2.45,1.64,362.64,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_25,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),,Indian Food,India,India,257.71,8.2,29.1,12.8,2.33,4.1,571.96,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_26,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),,Indian Food,India,India,243.32,7.92,26.92,12.27,1.97,2.85,549.71,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_27,Chicken sandwich,,Indian Food,India,India,253.27,13.12,25.38,11.75,1.64,1.6,389.67,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_28,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),,Indian Food,India,India,291.43,9.53,28.54,16.14,4.03,2.82,364.99,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_29,Rainbow sandwich,,Indian Food,India,India,272.75,7.75,34.26,12.54,2.1,4.05,612.49,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_30,Club sandwich,,Indian Food,India,India,235.32,7.31,18.51,15.12,1.81,2.01,461.66,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_31,Vegetarian club sandwich,,Indian Food,India,India,198.33,5.45,19.68,11.33,2.06,2.08,305.36,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_32,Pin wheel sandwich,,Indian Food,India,India,311.52,8.77,14.0,24.93,0.93,1.45,374.39,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_33,Carrot apple sandwich (Gajar aur seb ka sandwich),,Indian Food,India,India,214.11,5.3,29.04,9.12,3.66,5.3,302.88,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_34,Salami sandwich,,Indian Food,India,India,255.59,8.7,21.54,15.51,1.97,2.0,662.75,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_35,Vegetable and mayonnaise sandwich,,Indian Food,India,India,244.26,4.47,23.2,15.4,2.35,2.35,342.7,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_36,Egg and tomato sandwich (Ande aur tamatar ka sandwich),,Indian Food,India,India,222.11,7.66,25.9,10.51,1.77,2.09,423.26,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_37,Sweet open sandwich,,Indian Food,India,India,244.25,4.99,39.24,8.15,2.36,12.23,205.27,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_38,Mushroom and cheese sandwich (toasted),,Indian Food,India,India,227.42,7.79,21.01,13.01,2.28,2.11,456.57,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_39,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),,Indian Food,India,India,224.58,6.82,21.42,12.95,1.78,2.67,457.94,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_40,Pea potato sandwich (toasted) (Matar aloo ka sandwich),,Indian Food,India,India,164.9,4.6,25.17,5.43,2.89,1.33,262.63,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_41,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),,Indian Food,India,India,249.56,12.4,24.05,11.98,2.12,6.4,268.9,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_42,Chicken sandwich (toasted),,Indian Food,India,India,167.37,12.08,18.82,5.32,1.64,2.13,327.55,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_43,Pea keema sandwich (toasted) (Matar aur keema ka sandwich),,Indian Food,India,India,171.78,11.06,20.26,5.61,2.45,1.94,290.07,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_44,Classic club sandwich,,Indian Food,India,India,200.83,6.74,18.49,11.56,1.62,1.86,277.49,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_45,Sesame toast,,Indian Food,India,India,495.19,1.9,11.15,49.38,1.32,1.46,128.78,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_46,Cracked wheat porridge (Meetha daliya),,Indian Food,India,India,81.57,2.64,8.87,4.08,0.62,5.12,15.89,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_47,Semolina porridge (Suji/Rava daliya),,Indian Food,India,India,100.89,3.75,12.39,4.08,0.7,7.54,23.21,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_48,Oatmeal Porridge,,Indian Food,India,India,72.85,2.6,8.77,3.22,0.39,5.2,16.14,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_49,Cornflakes with milk,,Indian Food,India,India,117.33,3.59,14.95,5.12,0.78,9.97,26.55,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_50,Rice flakes (Chiwda/Aval),,Indian Food,India,India,112.44,3.62,15.57,3.99,0.37,7.28,22.4,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_51,Wheat flakes,,Indian Food,India,India,112.44,3.62,15.57,3.99,0.37,7.28,22.4,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_52,Murmura (Puffed rice),,Indian Food,India,India,113.32,3.62,15.67,4.04,0.28,7.31,22.52,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_53,Puffed wheat (Murmure/Moori),,Indian Food,India,India,113.32,3.62,15.67,4.04,0.28,7.31,22.52,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_54,Boiled egg (Ubla anda),,Indian Food,India,India,45.35,4.43,0.12,3.04,0.11,0.0,170.94,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_55,Fried Egg,,Indian Food,India,India,223.67,11.59,0.31,19.62,0.29,0.0,446.96,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_56,Poached egg,,Indian Food,India,India,123.87,11.98,0.37,8.19,0.3,0.05,1163.07,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_57,Scrambled egg (Ande ki bhurji),,Indian Food,India,India,155.97,10.29,1.35,12.21,0.24,1.08,374.66,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_58,Baked egg,,Indian Food,India,India,218.85,11.88,15.42,12.65,1.03,1.66,523.29,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_59,Plain omelette/omlet,,Indian Food,India,India,272.41,9.66,0.64,25.74,0.12,0.51,226.18,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_60,Stuffed egg omelette/omlet,,Indian Food,India,India,203.51,8.6,2.3,17.77,0.75,1.57,267.19,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_61,Pancake,,Indian Food,India,India,203.36,5.68,20.49,10.82,0.65,3.32,143.7,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_62,Keema pancake,,Indian Food,India,India,176.27,9.01,9.56,11.25,0.84,2.2,125.4,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_63,Vegetable pancake,,Indian Food,India,India,125.18,3.87,12.24,6.57,2.48,2.09,116.69,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_64,Jam and fruit pancake,,Indian Food,India,India,162.02,3.79,20.73,7.01,1.21,7.85,93.09,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_65,Khoa and coconut pancake,,Indian Food,India,India,271.98,6.98,27.32,15.29,1.65,16.47,101.0,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_66,Brown stock,,Indian Food,India,India,21.32,1.95,0.25,1.38,0.09,0.14,44.6,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_67,Vegetable stock,,Indian Food,India,India,17.6,0.3,0.96,1.38,0.38,0.44,49.75,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_68,Chicken stock,,Indian Food,India,India,29.88,3.69,0.37,1.51,0.1,0.2,58.58,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_69,Clear tomato soup (Tamatar ka soup),,Indian Food,India,India,80.07,4.79,3.45,12.22,1.96,1.44,5135.74,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_70,Lentil soup,,Indian Food,India,India,31.17,9.65,3.94,11.68,2.57,1.06,10418.84,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_71,Chicken consomme (Clear chicken soup),,Indian Food,India,India,47.94,11.47,1.19,12.02,1.57,0.54,8953.64,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_72,Cream of tomato soup,,Indian Food,India,India,97.81,4.61,3.93,13.12,1.38,1.81,4461.22,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_73,Cream of green peas soup,,Indian Food,India,India,127.84,7.13,6.75,14.78,2.95,1.61,4999.7,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_74,Cream of spinach soup,,Indian Food,India,India,100.54,5.21,3.45,13.31,1.74,1.13,4429.81,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_75,Cream of mixed vegetable soup,,Indian Food,India,India,59.65,6.84,4.93,9.05,2.14,2.1,5655.45,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_76,Cream of mushroom soup,,Indian Food,India,India,117.28,6.64,3.74,15.5,1.34,1.93,5276.06,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_77,Chicken sweet corn soup,,Indian Food,India,India,28.32,14.48,1.63,12.59,0.47,0.27,12205.33,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_78,Minestrone soup,,Indian Food,India,India,42.66,9.3,3.71,11.09,1.92,1.01,8875.06,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_79,Egg drop soup,,Indian Food,India,India,26.64,12.93,1.1,13.52,0.81,0.6,12418.84,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_80,Chinese cabbage and meat ball soup,,Indian Food,India,India,484.31,5.21,1.43,56.57,0.57,0.37,4249.41,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_81,French onion soup,,Indian Food,India,India,55.61,11.41,4.28,14.39,1.01,1.5,11202.89,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
