food_id,food_name,brand,categories,countries,collection_location,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,salt_g,nutriscore,nova_group,serving_size,quantity,source
8901719134845,Parle-G Biscuit,Parle,Dry biscuits,India,India,454.0,6.9,77.3,13.0,,25.5,0.296,6.0,0.74,e,4.0,,45gm,Open Food Facts
8901719134852,Parle G biscuit,Parle,Biscuits,India,India,3.4,6.9,77.3,13.0,0.0,25.5,0.0,6.0,0.0,d,,180,,Open Food Facts
8901063139329,bourbon,britannia,Biscuits,India,India,492.0,4.7,73.4,19.9,,37.0,118.0,7.7,295.0,e,4.0,10g,50g,Open Food Facts
8902080000227,Sting Energy,Sting,Energy drink with sugar,India,India,28.0,0.0,7.0,0.0,,6.8,0.053,0.0,0.1325,e,4.0,,1,Open Food Facts
8906010500764,balaji wafers chataka pataka,Balaji,"Biscuits, Crisps, Crackers (Appetizers), namkeen",India,India,514.0,7.0,63.3,25.0,4.0,2.0,0.868,12.0,2.17,e,4.0,30g,25g,Open Food Facts
8901063093522,Good Day - Cashew Cookies,Britannia,"Biscuits or cookies variety packs, Biscuit mixes, Biscuits/Cookies (Shelf Stable)",India,India,512.0,7.0,67.0,24.0,0.0,22.0,0.0,11.0,0.0,unknown,4.0,15g,52.5 g,Open Food Facts
8901058017687,maggi,Maggi,"Noodles, Maggi, Maggie",India,India,384.0,8.2,59.4,12.5,,1.8,1.0,8.2,2.5,e,4.0,1 portion (70 g),75,Open Food Facts
8901063162914,Marie Gold Biscuit,Britannia,Biscuits,"India, United Kingdom",India,445.0,7.9,79.5,10.6,0.0,21.2,0.316,5.1,0.79,e,4.0,15 g,64 g,Open Food Facts
8906010500559,Mung Dal,Balaji,"Snacks, Food",India,India,504.0,22.7,54.5,17.5,,1.0,0.385,8.0,0.963,d,,,25 g,Open Food Facts
8901764042911,Thums up,Thums up,"Carbonated waters, Colas, Sweetened beverages",India,India,39.0,0.0,9.7,0.0,0.0,9.5,0.022,0.0,0.055,e,4.0,250 ml,250 ml,Open Food Facts
