food_id,food_name,brand,categories,countries,collection_location,source,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,nutriscore,nova_group,serving_size,quantity,salt_g
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",,,,USDA reference,USDA FoodData Central SR Legacy,,5.88,41.18,13.24,1.2,5.88,1059.0,,,,,,
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",,,,USDA reference,USDA FoodData Central SR Legacy,,4.34,53.42,11.27,1.4,21.34,780.0,,,,,,
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",,,,USDA reference,USDA FoodData Central SR Legacy,,6.1,79.8,3.7,,,2182.0,,,,,,
167515,"George Weston Bakeries, Thomas English Muffins",,,,USDA reference,USDA FoodData Central SR Legacy,,8.0,46.0,1.8,,,345.0,0.303,,,,,
167516,"Waffles, buttermilk, frozen, ready-to-heat",,,,USDA reference,USDA FoodData Central SR Legacy,,6.58,41.05,9.22,2.2,4.3,621.0,4.53,,,,,
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",,,,USDA reference,USDA FoodData Central SR Legacy,,7.42,48.39,9.49,2.6,4.41,710.0,5.292,,,,,
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",,,,USDA reference,USDA FoodData Central SR Legacy,,6.92,44.16,9.4,2.4,4.5,663.0,4.864,,,,,
167519,"Waffle, plain, frozen, ready-to-heat, microwave",,,,USDA reference,USDA FoodData Central SR Legacy,,6.71,45.41,9.91,2.4,5.04,682.0,5.195,,,,,
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",,,,USDA reference,USDA FoodData Central SR Legacy,,5.1,64.3,24.83,1.9,18.13,471.0,16.928,,,,,
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",,,,USDA reference,USDA FoodData Central SR Legacy,,6.08,64.48,22.42,2.7,26.31,503.0,14.482,,,,,
167522,"Pie, Dutch Apple, Commercially Prepared",,,,USDA reference,USDA FoodData Central SR Legacy,,2.17,44.54,11.5,1.6,22.02,200.0,5.797,,,,,
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",,,,USDA reference,USDA FoodData Central SR Legacy,,5.52,46.79,28.74,1.4,,353.0,14.489,,,,,
167524,"Waffles, chocolate chip, frozen, ready-to-heat",,,,USDA reference,USDA FoodData Central SR Legacy,,5.8,45.68,10.1,1.5,13.1,529.0,2.564,,,,,
167525,"Tostada shells, corn",,,,USDA reference,USDA FoodData Central SR Legacy,,6.15,64.43,23.38,5.8,,657.0,7.217,,,,,
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",,,,USDA reference,USDA FoodData Central SR Legacy,,7.12,47.84,17.12,0.7,24.9,510.0,6.794,,,,,
167527,"Bread, pound cake type, pan de torta salvadoran",,,,USDA reference,USDA FoodData Central SR Legacy,,7.06,51.29,17.45,1.7,18.1,390.0,4.411,,,,,
167528,"Pastry, Pastelitos de Guava (guava pastries)",,,,USDA reference,USDA FoodData Central SR Legacy,,5.48,47.76,18.5,2.2,17.0,231.0,8.543,,,,,
167529,"Crackers, snack, Goya Crackers",,,,USDA reference,USDA FoodData Central SR Legacy,,14.25,64.35,13.35,3.8,2.35,665.0,4.697,,,,,
167530,"Crackers, cream, Gamesa Sabrosas",,,,USDA reference,USDA FoodData Central SR Legacy,,7.01,64.55,20.37,2.4,9.37,1148.0,10.625,,,,,
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",,,,USDA reference,USDA FoodData Central SR Legacy,,7.19,64.88,19.5,2.4,10.41,752.0,14.468,,,,,
