food_id,food_name,brand,categories,countries,collection_location,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,salt_g,nutriscore,nova_group,serving_size,quantity,source,core_nutrient_count,protein_per_100_kcal,fiber_per_100_kcal,sugar_ratio,fat_ratio,macro_total_g
8901719134845,Parle-G Biscuit,Parle,Dry biscuits,India,India,454.0,6.9,77.3,13.0,,25.5,0.296,6.0,0.74,e,4.0,,45gm,Open Food Facts,6,1.5198237885462555,,0.3298835705045278,0.1337448559670782,97.2
8901719134852,Parle G biscuit,Parle,Biscuits,India,India,3.4,6.9,77.3,13.0,0.0,25.5,0.0,6.0,0.0,d,,180,,Open Food Facts,7,202.94117647058826,0.0,0.3298835705045278,0.1337448559670782,97.2
8901063139329,bourbon,britannia,Biscuits,India,India,492.0,4.7,73.4,19.9,,37.0,118.0,7.7,295.0,e,4.0,10g,50g,Open Food Facts,6,0.9552845528455286,,0.5040871934604905,0.2030612244897959,98.0
8902080000227,Sting Energy,Sting,Energy drink with sugar,India,India,28.0,0.0,7.0,0.0,,6.8,0.053,0.0,0.1325,e,4.0,,1,Open Food Facts,6,0.0,,0.9714285714285714,0.0,7.0
8906010500764,balaji wafers chataka pataka,Balaji,"Biscuits, Crisps, Crackers (Appetizers), namkeen",India,India,514.0,7.0,63.3,25.0,,2.0,0.3472,12.0,0.868,e,4.0,30g,25g,Open Food Facts,6,1.3618677042801557,,0.031595576619273306,0.2623294858342078,95.3
8901063093522,Good Day - Cashew Cookies,Britannia,"Biscuits or cookies variety packs, Biscuit mixes, Biscuits/Cookies (Shelf Stable)",India,India,512.0,7.0,67.0,24.0,0.0,22.0,0.0,11.0,0.0,unknown,4.0,15g,52.5 g,Open Food Facts,7,1.3671875,0.0,0.3283582089552239,0.24489795918367346,98.0
8901058017687,maggi,Maggi,"Noodles, Maggi, Maggie",India,India,384.0,8.2,59.4,12.5,,1.8,1.0,8.2,2.5,e,4.0,1 portion (70 g),75,Open Food Facts,6,2.1354166666666665,,0.030303030303030304,0.15605493133583023,80.1
8901063162914,Marie Gold Biscuit,Britannia,Biscuits,"India, United Kingdom",India,445.0,7.9,79.5,10.6,0.0,21.2,0.316,5.1,0.79,e,4.0,15 g,64 g,Open Food Facts,7,1.7752808988764044,0.0,0.26666666666666666,0.10816326530612244,98.0
8906010500559,Mung Dal,Balaji,Food,India,India,504.0,22.7,54.0,17.5,,1.0,54.0,8.0,135.0,e,,,25 g,Open Food Facts,6,4.503968253968254,,0.018518518518518517,0.18577494692144372,94.2
8901764042911,Thums up,Thums up,"Carbonated waters, Colas, Sweetened beverages",India,India,39.0,0.0,9.7,0.0,0.0,9.5,0.022,0.0,0.055,e,4.0,200ml,250 ml,Open Food Facts,7,0.0,0.0,0.9793814432989691,0.0,9.7
8906010500245,Balaji Wafers Masala Sev Murmura,Balaji Wafers,Wafers,"France, India",India,482.0,10.9,53.8,23.2,7.0,9.4,0.811,10.5,2.0275,e,,25,40 g,Open Food Facts,7,2.2614107883817427,1.4522821576763485,0.17472118959107807,0.2639362912400455,87.9
8906010502232,Balaji wafers panjabi tadka,Balaji,"Crisps, Namkeen",India,India,608.0,7.7,42.3,43.9,6.5,2.0,1.033,20.7,2.5825,e,4.0,22,22g,Open Food Facts,7,1.2664473684210527,1.069078947368421,0.047281323877068564,0.4675186368477103,93.9
8906010500900,wheels,Balaji,Appetizers,India,India,484.0,75.0,62.6,21.5,0.0,3.0,142377.0,10.3,355942.5,e,4.0,,22 g,Open Food Facts,7,15.495867768595042,0.0,0.04792332268370607,0.13513513513513514,159.1
