meal_id,raw_ingredient,matched_food_id,confidence,score
IND_MEAL_001,Hot tea (Garam Chai),IND_FOOD_1,exact,1.0
IND_MEAL_001,Lemonade,IND_FOOD_8,exact,1.0
IND_MEAL_002,Instant coffee,IND_FOOD_2,exact,1.0
IND_MEAL_002,Banana milkshake (Kele milkshake),IND_FOOD_15,exact,1.0
IND_MEAL_003,Espreso coffee,IND_FOOD_3,exact,1.0
IND_MEAL_003,Cheese and chilli sandwich,IND_FOOD_22,exact,1.0
IND_MEAL_004,Iced tea,IND_FOOD_4,exact,1.0
IND_MEAL_004,Rainbow sandwich,IND_FOOD_29,exact,1.0
IND_MEAL_005,Raw mango drink (Aam panna),IND_FOOD_5,exact,1.0
IND_MEAL_005,Egg and tomato sandwich (Ande aur tamatar ka sandwich),IND_FOOD_36,exact,1.0
IND_MEAL_006,Fruit Punch (with fresh juices),IND_FOOD_6,exact,1.0
IND_MEAL_006,Pea keema sandwich (toasted) (Matar aur keema ka sandwich),IND_FOOD_43,exact,1.0
IND_MEAL_007,Fruit Punch (with squashes),IND_FOOD_7,exact,1.0
IND_MEAL_007,Rice flakes (Chiwda/Aval),IND_FOOD_50,exact,1.0
IND_MEAL_008,Lemonade,IND_FOOD_8,exact,1.0
IND_MEAL_008,Scrambled egg (Ande ki bhurji),IND_FOOD_57,exact,1.0
IND_MEAL_009,Lem-o-gin,IND_FOOD_9,exact,1.0
IND_MEAL_009,Jam and fruit pancake,IND_FOOD_64,exact,1.0
IND_MEAL_010,Cumin infused water (Jeere/Zeere ka pani),IND_FOOD_10,exact,1.0
IND_MEAL_010,Chicken consomme (Clear chicken soup),IND_FOOD_71,exact,1.0
IND_MEAL_011,Coco pine cooler,IND_FOOD_11,exact,1.0
IND_MEAL_011,Minestrone soup,IND_FOOD_78,exact,1.0
IND_MEAL_012,Summer cooler,IND_FOOD_12,exact,1.0
IND_MEAL_012,Cold summer garden soup,IND_FOOD_85,exact,1.0
IND_MEAL_013,Hot cocoa,IND_FOOD_13,exact,1.0
IND_MEAL_013,Sprouted moong parantha/paratha,IND_FOOD_92,exact,1.0
IND_MEAL_014,Cold coffee with ice cream,IND_FOOD_14,exact,1.0
IND_MEAL_014,Methi poori,IND_FOOD_99,exact,1.0
IND_MEAL_015,Banana milkshake (Kele milkshake),IND_FOOD_15,exact,1.0
IND_MEAL_015,Mushroom pulao,IND_FOOD_106,exact,1.0
IND_MEAL_016,Mango milkshake (Aam milkshake),IND_FOOD_16,exact,1.0
IND_MEAL_016,Vegetable biryani/biriyani,IND_FOOD_113,exact,1.0
IND_MEAL_017,Pineapple milkshake (Ananas milkshake),IND_FOOD_17,exact,1.0
IND_MEAL_017,Macroni cheese pie,IND_FOOD_120,exact,1.0
IND_MEAL_018,Orange milkshake (Narangi milkshake),IND_FOOD_18,exact,1.0
IND_MEAL_018,Chicken lasagne,IND_FOOD_127,exact,1.0
IND_MEAL_019,Egg nog,IND_FOOD_19,exact,1.0
IND_MEAL_019,Onion tomato uttapam,IND_FOOD_134,exact,1.0
IND_MEAL_020,Sweet Lassi (Meethi lassi),IND_FOOD_20,exact,1.0
IND_MEAL_020,Mixed dal,IND_FOOD_141,exact,1.0
IND_MEAL_021,Lassi (salted),IND_FOOD_21,exact,1.0
IND_MEAL_021,Chickpeas curry (Safed channa curry),IND_FOOD_148,exact,1.0
IND_MEAL_022,Cheese and chilli sandwich,IND_FOOD_22,exact,1.0
IND_MEAL_022,Sprouted moong dal chat,IND_FOOD_155,exact,1.0
IND_MEAL_023,Egg sandwich (Ande ka sandwich),IND_FOOD_23,exact,1.0
IND_MEAL_023,Dry potato (Sookhe aloo),IND_FOOD_162,exact,1.0
IND_MEAL_024,Cucumber sandwich (Kheere ka sandwich),IND_FOOD_24,exact,1.0
IND_MEAL_024,Stuffed round gourd (Bharwa tinde),IND_FOOD_169,exact,1.0
IND_MEAL_025,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),IND_FOOD_25,exact,1.0
IND_MEAL_025,Pea curry (Matar ki sabzi),IND_FOOD_176,exact,1.0
IND_MEAL_026,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),IND_FOOD_26,exact,1.0
IND_MEAL_026,Paneer kofta curry,IND_FOOD_183,exact,1.0
IND_MEAL_027,Chicken sandwich,IND_FOOD_27,exact,1.0
IND_MEAL_027,Vegetarian egg kofta curry,IND_FOOD_190,exact,1.0
IND_MEAL_028,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),IND_FOOD_28,exact,1.0
IND_MEAL_028,Dum aloo,IND_FOOD_197,exact,1.0
IND_MEAL_029,Rainbow sandwich,IND_FOOD_29,exact,1.0
IND_MEAL_029,Shahi paneer,IND_FOOD_204,exact,1.0
IND_MEAL_030,Club sandwich,IND_FOOD_30,exact,1.0
IND_MEAL_030,Spinach mutton (Palak mutton),IND_FOOD_211,exact,1.0
IND_MEAL_031,Vegetarian club sandwich,IND_FOOD_31,exact,1.0
IND_MEAL_031,Mutton chops,IND_FOOD_218,exact,1.0
IND_MEAL_032,Pin wheel sandwich,IND_FOOD_32,exact,1.0
IND_MEAL_032,Chicken kebab,IND_FOOD_225,exact,1.0
IND_MEAL_033,Carrot apple sandwich (Gajar aur seb ka sandwich),IND_FOOD_33,exact,1.0
IND_MEAL_033,Baked fish with cheese sauce,IND_FOOD_232,exact,1.0
IND_MEAL_034,Salami sandwich,IND_FOOD_34,exact,1.0
IND_MEAL_034,Hawain salad,IND_FOOD_239,exact,1.0
IND_MEAL_035,Vegetable and mayonnaise sandwich,IND_FOOD_35,exact,1.0
IND_MEAL_035,Coleslaw,IND_FOOD_246,exact,1.0
IND_MEAL_036,Egg and tomato sandwich (Ande aur tamatar ka sandwich),IND_FOOD_36,exact,1.0
IND_MEAL_036,Carrot and spinach raita (Gajar aur palak ka raita),IND_FOOD_253,exact,1.0
IND_MEAL_037,Sweet open sandwich,IND_FOOD_37,exact,1.0
IND_MEAL_037,Saunth/Sonth chutney with tamarind/imli,IND_FOOD_260,exact,1.0
IND_MEAL_038,Mushroom and cheese sandwich (toasted),IND_FOOD_38,exact,1.0
IND_MEAL_038,Carrot kheer (Gajar ki kheer),IND_FOOD_267,exact,1.0
IND_MEAL_039,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),IND_FOOD_39,exact,1.0
IND_MEAL_039,Egg halwa (Ande ka halwa),IND_FOOD_274,exact,1.0
IND_MEAL_040,Pea potato sandwich (toasted) (Matar aloo ka sandwich),IND_FOOD_40,exact,1.0
IND_MEAL_040,Chocolate ice cream,IND_FOOD_281,exact,1.0
IND_MEAL_041,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),IND_FOOD_41,exact,1.0
IND_MEAL_041,Chocolate souffle,IND_FOOD_288,exact,1.0
IND_MEAL_042,Chicken sandwich (toasted),IND_FOOD_42,exact,1.0
IND_MEAL_042,Triffle pudding,IND_FOOD_295,exact,1.0
IND_MEAL_043,Pea keema sandwich (toasted) (Matar aur keema ka sandwich),IND_FOOD_43,exact,1.0
IND_MEAL_043,Bread and butter pudding,IND_FOOD_302,exact,1.0
IND_MEAL_044,Classic club sandwich,IND_FOOD_44,exact,1.0
IND_MEAL_044,Hot chocolate souffle,IND_FOOD_309,exact,1.0
IND_MEAL_045,Sesame toast,IND_FOOD_45,exact,1.0
IND_MEAL_045,Gram flour burfi (Besan burfi),IND_FOOD_316,exact,1.0
IND_MEAL_046,Cracked wheat porridge (Meetha daliya),IND_FOOD_46,exact,1.0
IND_MEAL_046,Ghujia/Lavang latika,IND_FOOD_323,exact,1.0
IND_MEAL_047,Semolina porridge (Suji/Rava daliya),IND_FOOD_47,exact,1.0
IND_MEAL_047,Mixed vegetable pakora/pakoda,IND_FOOD_330,exact,1.0
IND_MEAL_048,Oatmeal Porridge,IND_FOOD_48,exact,1.0
IND_MEAL_048,Potato samosa (Aloo ka samosa),IND_FOOD_337,exact,1.0
IND_MEAL_049,Cornflakes with milk,IND_FOOD_49,exact,1.0
IND_MEAL_049,Peanut cutlet (Mungfali ke cutlet),IND_FOOD_344,exact,1.0
IND_MEAL_050,Rice flakes (Chiwda/Aval),IND_FOOD_50,exact,1.0
IND_MEAL_050,Vegetable seekh kebab,IND_FOOD_351,exact,1.0
IND_MEAL_051,Wheat flakes,IND_FOOD_51,exact,1.0
IND_MEAL_051,Dry mango chutney (Sookhe aam ki chutney),IND_FOOD_358,exact,1.0
IND_MEAL_052,Murmura (Puffed rice),IND_FOOD_52,exact,1.0
IND_MEAL_052,Orange cream tart,IND_FOOD_365,exact,1.0
IND_MEAL_053,Puffed wheat (Murmure/Moori),IND_FOOD_53,exact,1.0
IND_MEAL_053,Chocolate meringue pie,IND_FOOD_372,exact,1.0
IND_MEAL_054,Boiled egg (Ubla anda),IND_FOOD_54,exact,1.0
IND_MEAL_054,Hot potato souffle,IND_FOOD_379,exact,1.0
IND_MEAL_055,Fried Egg,IND_FOOD_55,exact,1.0
IND_MEAL_055,Orange cake,IND_FOOD_386,exact,1.0
IND_MEAL_056,Poached egg,IND_FOOD_56,exact,1.0
IND_MEAL_056,Swiss roll,IND_FOOD_393,exact,1.0
IND_MEAL_057,Scrambled egg (Ande ki bhurji),IND_FOOD_57,exact,1.0
IND_MEAL_057,Sweet plain biscuit,IND_FOOD_400,exact,1.0
IND_MEAL_058,Baked egg,IND_FOOD_58,exact,1.0
IND_MEAL_058,Masala biscuit,IND_FOOD_407,exact,1.0
IND_MEAL_059,Plain omelette/omlet,IND_FOOD_59,exact,1.0
IND_MEAL_059,Ginger biscuit (Adarak ke biscuit),IND_FOOD_414,exact,1.0
IND_MEAL_060,Stuffed egg omelette/omlet,IND_FOOD_60,exact,1.0
IND_MEAL_060,Rice moong dal cheela (Chawal aur moong dal ka cheela),IND_FOOD_421,exact,1.0
IND_MEAL_061,Pancake,IND_FOOD_61,exact,1.0
IND_MEAL_061,Sprouted moong poha,IND_FOOD_428,exact,1.0
